央视IPV4,#genre#
CCTV-1 综合,http://123.154.30.3:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0#http://49.87.154.246:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://60.174.40.117:9901/tsfile/live/0001_1.m3u8#http://110.80.17.38:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-2 财经,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8#http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8#http://123.154.30.3:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0#http://110.80.17.38:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-3 综艺,http://123.154.30.3:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0#http://110.80.17.38:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-4 中文国际,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022576603.m3u8#http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/1.m3u8#http://60.174.40.117:9901/tsfile/live/0004_1.m3u8#http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-5 体育,http://110.80.17.38:9901/tsfile/live/0005_1.m3u8?key=txiptv#http://60.174.40.117:9901/tsfile/live/0005_1.m3u8#http://113.81.20.104:9901/tsfile/live/0005_1.m3u8
CCTV-5+ 体育赛事,http://113.218.218.5:8001/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0#http://121.24.99.123:8090/hls/5/index.m3u8
CCTV-6 电影,http://123.154.30.3:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0#http://60.174.137.146:9901/tsfile/live/0006_1.m3u8#http://110.80.17.38:9901/tsfile/live/0005_2.m3u8?key=txiptv
CCTV-7 国防军事,http://123.154.30.3:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0#http://60.174.40.117:9901/tsfile/live/0007_1.m3u8
CCTV-8 电视剧,http://110.80.17.38:9901/tsfile/live/0008_1.m3u8?key=txiptv#http://60.174.40.117:9901/tsfile/live/0008_1.m3u8
CCTV-9 纪录,http://111.160.17.2:59901/tsfile/live/0009_1.m3u8#http://110.80.17.38:9901/tsfile/live/0009_1.m3u8?key=txiptv
